tract_geoid,year,sales_n,entity_n,port10_n,port25_n
72109290400,2004,69,1,0,0
72109290400,2005,19,0,0,0
72109290400,2006,9,0,0,0
72109290400,2007,16,0,0,0
72109290400,2008,13,0,0,0
72109290400,2009,16,0,0,0
72109290400,2010,5,0,0,0
72109290400,2011,11,0,0,0
72109290400,2012,13,1,0,0
72109290400,2013,11,0,0,0
72109290400,2014,10,0,0,0
72109290400,2015,15,0,0,0
72109290400,2016,17,0,0,0
72109290400,2017,11,0,0,0
72109290400,2018,18,5,0,0
72109290400,2019,12,0,0,0
72109290400,2020,24,2,0,0
72109290400,2021,35,2,2,0
72109290400,2022,38,4,1,0
72109290400,2023,31,6,0,0
72109290400,2024,38,8,0,0
72109290400,2025,30,1,0,0
72109290400,2026,11,0,0,0
72111730100,2000,5,0,0,0
72111730100,2001,12,0,0,0
72111730100,2002,13,0,0,0
72111730100,2003,21,0,0,0
72111730100,2004,12,0,0,0
72111730100,2005,12,0,0,0
72111730100,2006,18,0,0,0
72111730100,2007,13,0,0,0
72111730100,2008,12,0,0,0
72111730100,2009,15,0,0,0
72111730100,2010,11,1,0,0
72111730100,2011,15,0,0,0
72111730100,2012,16,0,0,0
72111730100,2013,10,0,0,0
72111730100,2014,12,0,0,0
72111730100,2015,21,4,0,0
72111730100,2016,16,1,0,0
72111730100,2017,13,1,0,0
72111730100,2018,10,0,0,0
72111730100,2019,20,0,0,0
72111730100,2020,13,0,0,0
72111730100,2021,21,0,0,0
72111730100,2022,25,0,0,0
72111730100,2023,28,0,0,0
72111730100,2024,26,0,0,0
72111730100,2025,26,0,0,0
72111730100,2026,2,0,0,0
72111730200,2000,7,0,0,0
72111730200,2001,7,0,0,0
72111730200,2002,10,0,0,0
72111730200,2003,6,0,0,0
72111730200,2004,7,0,0,0
72111730200,2005,7,0,0,0
72111730200,2006,9,0,0,0
72111730200,2007,12,0,0,0
72111730200,2008,6,0,0,0
72111730200,2009,8,0,0,0
72111730200,2010,8,0,0,0
72111730200,2011,16,0,0,0
72111730200,2012,12,0,0,0
72111730200,2013,3,0,0,0
72111730200,2014,9,0,0,0
72111730200,2015,8,0,0,0
72111730200,2016,9,0,0,0
72111730200,2017,7,0,0,0
72111730200,2018,7,0,0,0
72111730200,2019,9,0,0,0
72111730200,2020,12,0,0,0
72111730200,2021,9,0,0,0
