tract_geoid,med_hh_inc,med_value,med_rent,poverty,ba_share,renter_share,vacancy,seasonal_share,mainland_share,pop
72109290200,13815.0,85000.0,333.0,0.53342,0.18602,0.26968,0.21101,0.07885,0.06791,4683
72109290300,16438.0,85100.0,288.0,0.5704,0.13592,0.10538,0.14396,0.0451,0.05507,6010
72109290400,13682.0,83300.0,525.0,0.53131,0.15593,0.15331,0.2961,0.09111,0.05662,4062
72109990000,,,,,,,,,,0
72111730100,12252.0,60000.0,411.0,0.67936,0.09315,0.20067,0.1324,0.03492,0.03502,5996
72111730200,17482.0,93100.0,390.0,0.50612,0.21066,0.23506,0.08727,0.04,0.05302,2546
72111730300,16208.0,82000.0,373.0,0.55497,0.16107,0.24741,0.17008,0.00574,0.02873,7100
72111730400,16250.0,89400.0,347.0,0.51222,0.26518,0.33684,0.191,0.03771,0.03666,2046
72111730700,14918.0,77800.0,384.0,0.62998,0.10569,0.14246,0.11605,0.02716,0.02868,5126
72111730800,14690.0,64800.0,,0.57288,0.14255,0.12281,0.25197,0.01575,0.04649,2065
72111990000,,,,,,,,,,0
72113070100,30674.0,118600.0,480.0,0.31925,0.31621,0.24874,0.1864,0.02868,0.06961,6235
72113070201,16592.0,83600.0,521.0,0.57056,0.17121,0.22175,0.07686,0.01725,0.04555,3820
72113070202,11077.0,42300.0,343.0,0.76584,0.07008,0.41761,0.12329,0.0,0.0762,2349
72113070300,9756.0,28000.0,341.0,0.67326,0.05735,0.37575,0.22655,0.01057,0.02992,3209
72113070400,2672.0,79800.0,113.0,0.8771,0.0504,0.86467,0.10619,0.0,0.04323,2984
72113070502,18488.0,102400.0,332.0,0.34911,0.31049,0.23669,0.12285,0.0,0.03008,3624
72113070503,35991.0,184300.0,493.0,0.31652,0.64637,0.34872,0.14552,0.01493,0.04362,4218
72113070513,15917.0,97200.0,475.0,0.56615,0.18072,0.40103,0.04108,0.0,0.03692,3711
72113070514,18393.0,99100.0,239.0,0.44687,0.12118,0.34175,0.04614,0.01605,0.04607,3256
72113070522,19928.0,148700.0,275.0,0.39005,0.39375,0.37067,0.10784,0.01078,0.0364,3324
72113070800,9600.0,36700.0,254.0,0.71319,0.08705,0.43276,0.34866,0.02342,0.02802,2320
72113070900,11658.0,33300.0,318.0,0.71654,0.08981,0.40681,0.24338,0.01074,0.05261,3041
72113071000,10586.0,40900.0,238.0,0.74934,0.03801,0.40306,0.2734,0.0,0.04465,2262
72113071200,12518.0,92200.0,367.0,0.4531,0.27372,0.52124,0.33333,0.03642,0.03119,2821
72113071300,5097.0,67300.0,166.0,0.82642,0.04973,0.71311,0.10732,0.0,0.04337,4058
72113071401,27548.0,129100.0,678.0,0.45219,0.26893,0.36583,0.11562,0.0142,0.05329,2796
