zip,year,n_stock,n_in_any,n_in_within_pr,n_in_off_island,n_new_entry,n_gap_return,rate_in_any,rate_in_within_pr,rate_in_off_island
00766,2021,133,7,4,3,3,2,0.05263157894736842,0.03007518796992481,0.022556390977443608
00766,2022,125,4,3,1,4,1,0.032,0.024,0.008
00766,2023,122,3,1,2,2,6,0.02459016393442623,0.00819672131147541,0.01639344262295082
00767,2005,212,0,0,0,212,0,0.0,0.0,0.0
00767,2006,207,8,3,5,23,0,0.03864734299516908,0.014492753623188406,0.024154589371980676
00767,2007,219,10,5,5,22,1,0.045662100456621,0.0228310502283105,0.0228310502283105
00767,2008,220,17,10,7,14,0,0.07727272727272727,0.045454545454545456,0.031818181818181815
00767,2009,223,12,8,4,14,0,0.053811659192825115,0.03587443946188341,0.017937219730941704
00767,2010,190,15,8,7,6,1,0.07894736842105263,0.042105263157894736,0.03684210526315789
00767,2011,199,13,9,4,14,4,0.06532663316582915,0.04522613065326633,0.020100502512562814
00767,2012,186,6,4,2,8,3,0.03225806451612903,0.021505376344086023,0.010752688172043012
00767,2013,193,15,8,7,7,5,0.07772020725388601,0.04145077720207254,0.03626943005181347
00767,2014,193,12,8,4,13,6,0.06217616580310881,0.04145077720207254,0.02072538860103627
00767,2015,196,6,5,1,9,4,0.030612244897959183,0.025510204081632654,0.00510204081632653
00767,2016,184,6,5,1,2,3,0.03260869565217391,0.02717391304347826,0.005434782608695652
00767,2017,163,3,2,1,3,4,0.018404907975460124,0.012269938650306749,0.006134969325153374
00767,2018,158,7,5,2,5,5,0.04430379746835443,0.03164556962025317,0.012658227848101266
00767,2019,171,5,3,2,10,11,0.029239766081871343,0.017543859649122806,0.011695906432748537
00767,2020,172,6,4,2,6,3,0.03488372093023256,0.023255813953488372,0.011627906976744186
00767,2021,166,4,2,2,6,1,0.024096385542168676,0.012048192771084338,0.012048192771084338
00767,2022,174,9,5,4,8,5,0.05172413793103448,0.028735632183908046,0.022988505747126436
00767,2023,173,4,2,2,11,2,0.023121387283236993,0.011560693641618497,0.011560693641618497
00769,2005,209,0,0,0,209,0,0.0,0.0,0.0
00769,2006,212,9,5,4,25,0,0.04245283018867924,0.02358490566037736,0.018867924528301886
00769,2007,229,13,8,5,30,2,0.056768558951965066,0.034934497816593885,0.021834061135371178
00769,2008,228,12,6,6,15,2,0.05263157894736842,0.02631578947368421,0.02631578947368421
00769,2009,232,19,7,12,10,3,0.08189655172413793,0.03017241379310345,0.05172413793103448
00769,2010,199,12,8,4,8,3,0.06030150753768844,0.04020100502512563,0.020100502512562814
00769,2011,195,13,10,3,7,11,0.06666666666666667,0.05128205128205128,0.015384615384615385
00769,2012,193,11,8,3,8,4,0.05699481865284974,0.04145077720207254,0.015544041450777202
00769,2013,194,17,11,6,9,4,0.08762886597938144,0.05670103092783505,0.030927835051546393
00769,2014,198,10,6,4,11,5,0.050505050505050504,0.030303030303030304,0.020202020202020204
00769,2015,205,9,6,3,9,9,0.04390243902439024,0.02926829268292683,0.014634146341463415
00769,2016,197,9,7,2,11,3,0.04568527918781726,0.03553299492385787,0.01015228426395939
00769,2017,202,5,2,3,13,10,0.024752475247524754,0.009900990099009901,0.01485148514851485
00769,2018,206,14,9,5,9,4,0.06796116504854369,0.043689320388349516,0.024271844660194174
00769,2019,205,15,12,3,5,2,0.07317073170731707,0.05853658536585366,0.014634146341463415
00769,2020,202,6,4,2,7,3,0.0297029702970297,0.019801980198019802,0.009900990099009901
00769,2021,198,9,5,4,3,9,0.045454545454545456,0.025252525252525252,0.020202020202020204
00769,2022,187,8,5,3,5,1,0.0427807486631016,0.026737967914438502,0.016042780748663103
00769,2023,197,12,9,3,6,9,0.06091370558375635,0.04568527918781726,0.015228426395939087
00771,2005,203,0,0,0,203,0,0.0,0.0,0.0
00771,2006,214,17,13,4,28,0,0.0794392523364486,0.06074766355140187,0.018691588785046728
00771,2007,230,19,14,5,29,0,0.08260869565217391,0.06086956521739131,0.021739130434782608
00771,2008,225,12,8,4,13,2,0.05333333333333334,0.035555555555555556,0.017777777777777778
00771,2009,237,26,21,5,16,2,0.10970464135021098,0.08860759493670886,0.02109704641350211
00771,2010,224,19,18,1,10,4,0.08482142857142858,0.08035714285714286,0.004464285714285714
00771,2011,224,15,12,3,12,5,0.06696428571428571,0.05357142857142857,0.013392857142857142
00771,2012,218,13,11,2,7,6,0.05963302752293578,0.05045871559633028,0.009174311926605505
00771,2013,203,10,7,3,7,5,0.04926108374384237,0.034482758620689655,0.014778325123152709
00771,2014,202,10,8,2,5,10,0.04950495049504951,0.039603960396039604,0.009900990099009901
00771,2015,203,8,7,1,8,3,0.03940886699507389,0.034482758620689655,0.0049261083743842365
00771,2016,204,7,5,2,9,9,0.03431372549019608,0.024509803921568627,0.00980392156862745
00771,2017,199,9,7,2,12,5,0.04522613065326633,0.035175879396984924,0.010050251256281407
00771,2018,204,8,6,2,12,7,0.0392156862745098,0.029411764705882353,0.00980392156862745
00771,2019,217,12,8,4,9,9,0.055299539170506916,0.03686635944700461,0.018433179723502304
00771,2020,212,9,6,3,3,11,0.04245283018867924,0.02830188679245283,0.014150943396226415
00771,2021,225,24,18,6,11,4,0.10666666666666667,0.08,0.02666666666666667
00771,2022,233,12,5,7,13,3,0.05150214592274678,0.02145922746781116,0.030042918454935622
00771,2023,227,7,5,2,8,5,0.030837004405286344,0.022026431718061675,0.00881057268722467
00772,2005,119,0,0,0,119,0,0.0,0.0,0.0
00772,2006,116,6,6,0,15,0,0.05172413793103448,0.05172413793103448,0.0
00772,2007,122,9,7,2,13,1,0.07377049180327869,0.05737704918032787,0.01639344262295082
00772,2008,118,5,2,3,9,2,0.0423728813559322,0.01694915254237288,0.025423728813559324
00772,2009,115,7,5,2,9,1,0.06086956521739131,0.043478260869565216,0.017391304347826087
00772,2010,102,6,3,3,6,1,0.058823529411764705,0.029411764705882353,0.029411764705882353
00772,2011,93,5,4,1,6,2,0.053763440860215055,0.043010752688172046,0.010752688172043012
00772,2012,97,7,4,3,4,4,0.07216494845360824,0.041237113402061855,0.030927835051546393
00772,2013,91,3,3,0,4,3,0.03296703296703297,0.03296703296703297,0.0
00772,2014,105,8,5,3,8,4,0.0761904761904762,0.047619047619047616,0.02857142857142857
00772,2015,100,2,1,1,6,1,0.02,0.01,0.01
00772,2016,100,3,1,2,5,0,0.03,0.01,0.02
00772,2017,103,3,3,0,9,4,0.02912621359223301,0.02912621359223301,0.0
00772,2018,99,1,0,1,5,4,0.010101010101010102,0.0,0.010101010101010102
00772,2019,96,1,0,1,7,2,0.010416666666666666,0.0,0.010416666666666666
00772,2020,90,5,3,2,1,0,0.05555555555555555,0.03333333333333333,0.022222222222222223
00772,2021,94,3,3,0,6,3,0.031914893617021274,0.031914893617021274,0.0
00772,2022,96,9,7,2,3,4,0.09375,0.07291666666666667,0.020833333333333332
00772,2023,93,4,2,2,6,3,0.043010752688172046,0.021505376344086023,0.021505376344086023
00773,2005,116,0,0,0,116,0,0.0,0.0,0.0
00773,2006,127,14,10,4,16,0,0.11023622047244094,0.07874015748031496,0.031496062992125984
00773,2007,139,13,6,7,21,0,0.09352517985611511,0.04316546762589928,0.050359712230215826
00773,2008,128,9,6,3,9,1,0.0703125,0.046875,0.0234375
00773,2009,137,16,11,5,9,0,0.11678832116788321,0.08029197080291971,0.0364963503649635
00773,2010,122,8,7,1,4,2,0.06557377049180328,0.05737704918032787,0.00819672131147541
00773,2011,127,8,5,3,9,2,0.06299212598425197,0.03937007874015748,0.023622047244094488
00773,2012,120,8,7,1,5,1,0.06666666666666667,0.058333333333333334,0.008333333333333333
00773,2013,130,11,7,4,9,4,0.08461538461538462,0.05384615384615385,0.03076923076923077
00773,2014,126,4,3,1,4,3,0.031746031746031744,0.023809523809523808,0.007936507936507936
00773,2015,125,10,7,3,4,1,0.08,0.056,0.024
00773,2016,130,6,4,2,8,3,0.046153846153846156,0.03076923076923077,0.015384615384615385
00773,2017,128,6,5,1,1,4,0.046875,0.0390625,0.0078125
00773,2018,117,4,2,2,4,0,0.03418803418803419,0.017094017094017096,0.017094017094017096
00773,2019,122,6,4,2,5,3,0.04918032786885246,0.03278688524590164,0.01639344262295082
00773,2020,120,8,2,6,4,3,0.06666666666666667,0.016666666666666666,0.05
00773,2021,127,7,6,1,7,2,0.05511811023622047,0.047244094488188976,0.007874015748031496
00773,2022,128,11,7,4,5,3,0.0859375,0.0546875,0.03125
00773,2023,119,6,4,2,1,3,0.05042016806722689,0.03361344537815126,0.01680672268907563
00775,2005,8,0,0,0,8,0,0.0,0.0,0.0
00775,2006,10,1,1,0,1,0,0.1,0.1,0.0
00775,2007,8,0,0,0,1,0,0.0,0.0,0.0
00775,2008,10,1,1,0,2,0,0.1,0.1,0.0
00775,2009,9,1,0,1,1,0,0.1111111111111111,0.0,0.1111111111111111
00775,2010,7,0,0,0,0,0,0.0,0.0,0.0
00775,2011,8,3,2,1,0,0,0.375,0.25,0.125
00775,2012,8,1,1,0,1,0,0.125,0.125,0.0
00775,2013,11,2,2,0,0,1,0.18181818181818182,0.18181818181818182,0.0
00775,2014,9,0,0,0,1,0,0.0,0.0,0.0
00775,2015,12,1,1,0,1,1,0.08333333333333333,0.08333333333333333,0.0
00775,2016,9,0,0,0,0,0,0.0,0.0,0.0
00775,2017,9,1,0,1,0,0,0.1111111111111111,0.0,0.1111111111111111
00775,2018,8,0,0,0,0,0,0.0,0.0,0.0
00775,2019,8,1,0,1,0,0,0.125,0.0,0.125
00775,2020,5,0,0,0,0,0,0.0,0.0,0.0
00775,2021,6,0,0,0,1,0,0.0,0.0,0.0
00775,2022,6,0,0,0,1,0,0.0,0.0,0.0
00775,2023,7,2,0,2,0,0,0.2857142857142857,0.0,0.2857142857142857
00776,2006,2,1,1,0,1,0,0.5,0.5,0.0
00777,2005,253,0,0,0,253,0,0.0,0.0,0.0
00777,2006,257,23,17,6,18,0,0.08949416342412451,0.06614785992217899,0.023346303501945526
00777,2007,283,29,20,9,32,1,0.10247349823321555,0.0706713780918728,0.03180212014134275
00777,2008,287,22,18,4,15,1,0.07665505226480836,0.0627177700348432,0.013937282229965157
00777,2009,289,21,20,1,14,1,0.0726643598615917,0.06920415224913495,0.0034602076124567475
00777,2010,255,20,14,6,7,1,0.0784313725490196,0.054901960784313725,0.023529411764705882
00777,2011,254,21,18,3,11,5,0.08267716535433071,0.07086614173228346,0.011811023622047244
00777,2012,244,20,15,5,7,8,0.08196721311475409,0.06147540983606557,0.020491803278688523
00777,2013,244,20,14,6,5,8,0.08196721311475409,0.05737704918032787,0.02459016393442623
00777,2014,247,12,6,6,11,3,0.048582995951417005,0.024291497975708502,0.024291497975708502
00777,2015,237,9,8,1,10,3,0.0379746835443038,0.03375527426160337,0.004219409282700422
00777,2016,245,14,13,1,10,4,0.05714285714285714,0.053061224489795916,0.004081632653061225
00777,2017,240,9,6,3,6,8,0.0375,0.025,0.0125
00777,2018,230,5,5,0,8,8,0.021739130434782608,0.021739130434782608,0.0
00777,2019,233,15,13,2,7,4,0.06437768240343347,0.055793991416309016,0.008583690987124463
00777,2020,234,12,8,4,8,8,0.05128205128205128,0.03418803418803419,0.017094017094017096
00777,2021,234,11,5,6,16,5,0.04700854700854701,0.021367521367521368,0.02564102564102564
00777,2022,254,13,12,1,15,11,0.051181102362204724,0.047244094488188976,0.003937007874015748
00777,2023,259,13,9,4,13,5,0.05019305019305019,0.03474903474903475,0.015444015444015444
00778,2005,233,0,0,0,233,0,0.0,0.0,0.0
00778,2006,250,24,21,3,27,0,0.096,0.084,0.012
00778,2007,275,21,19,2,41,0,0.07636363636363637,0.06909090909090909,0.007272727272727273
00778,2008,282,27,23,4,25,0,0.09574468085106383,0.08156028368794327,0.014184397163120567
00778,2009,301,35,25,10,20,2,0.11627906976744186,0.08305647840531562,0.03322259136212625
00778,2010,257,22,19,3,5,1,0.08560311284046693,0.07392996108949416,0.011673151750972763
00778,2011,242,17,16,1,10,9,0.07024793388429752,0.06611570247933884,0.004132231404958678
00778,2012,255,19,11,8,13,11,0.07450980392156863,0.043137254901960784,0.03137254901960784
00778,2013,237,17,14,3,4,5,0.07172995780590717,0.05907172995780591,0.012658227848101266
00778,2014,238,23,12,11,9,8,0.09663865546218488,0.05042016806722689,0.046218487394957986
00778,2015,248,22,16,6,8,6,0.08870967741935484,0.06451612903225806,0.024193548387096774
00778,2016,253,14,11,3,15,6,0.05533596837944664,0.043478260869565216,0.011857707509881422
00778,2017,252,18,15,3,6,3,0.07142857142857142,0.05952380952380952,0.011904761904761904
00778,2018,253,16,14,2,11,3,0.06324110671936758,0.05533596837944664,0.007905138339920948
00778,2019,256,18,15,3,9,2,0.0703125,0.05859375,0.01171875
00778,2020,260,19,16,3,12,3,0.07307692307692308,0.06153846153846154,0.011538461538461539
00778,2021,262,18,16,2,9,6,0.06870229007633588,0.061068702290076333,0.007633587786259542
00778,2022,276,9,7,2,20,12,0.03260869565217391,0.025362318840579712,0.007246376811594203
00778,2023,262,11,7,4,11,5,0.04198473282442748,0.026717557251908396,0.015267175572519083
00779,2008,1,1,1,0,0,0,1.0,1.0,0.0
00780,2005,112,0,0,0,112,0,0.0,0.0,0.0
00780,2006,108,17,14,3,11,0,0.1574074074074074,0.12962962962962962,0.027777777777777776
00780,2007,118,18,16,2,12,1,0.15254237288135594,0.13559322033898305,0.01694915254237288
00780,2008,126,22,19,3,6,0,0.1746031746031746,0.15079365079365079,0.023809523809523808
00780,2009,117,10,9,1,7,2,0.08547008547008547,0.07692307692307693,0.008547008547008548
00780,2010,102,10,9,1,5,2,0.09803921568627451,0.08823529411764706,0.00980392156862745
00780,2011,103,16,14,2,2,3,0.1553398058252427,0.13592233009708737,0.019417475728155338
00780,2012,108,18,15,3,3,2,0.16666666666666666,0.1388888888888889,0.027777777777777776
00780,2013,100,11,9,2,3,1,0.11,0.09,0.02
00780,2014,99,9,9,0,4,2,0.09090909090909091,0.09090909090909091,0.0
00780,2015,98,6,6,0,6,2,0.061224489795918366,0.061224489795918366,0.0
00780,2016,102,9,7,2,4,2,0.08823529411764706,0.06862745098039216,0.0196078431372549
00780,2017,110,6,6,0,6,3,0.05454545454545454,0.05454545454545454,0.0
00780,2018,104,7,5,2,4,1,0.0673076923076923,0.04807692307692308,0.019230769230769232
00780,2019,101,5,5,0,4,4,0.04950495049504951,0.04950495049504951,0.0
00780,2020,103,8,5,3,4,0,0.07766990291262135,0.04854368932038835,0.02912621359223301
00780,2021,103,10,6,4,5,1,0.0970873786407767,0.05825242718446602,0.038834951456310676
00780,2022,96,8,8,0,3,2,0.08333333333333333,0.08333333333333333,0.0
00780,2023,104,14,12,2,2,1,0.1346153846153846,0.11538461538461539,0.019230769230769232
00781,2016,1,1,1,0,0,0,1.0,1.0,0.0
00781,2017,1,0,0,0,0,0,0.0,0.0,0.0
00781,2018,1,0,0,0,0,0,0.0,0.0,0.0
00782,2005,116,0,0,0,116,0,0.0,0.0,0.0
00782,2006,113,3,1,2,11,0,0.02654867256637168,0.008849557522123894,0.017699115044247787
00782,2007,110,3,1,2,18,0,0.02727272727272727,0.00909090909090909,0.01818181818181818
00782,2008,114,6,2,4,6,1,0.05263157894736842,0.017543859649122806,0.03508771929824561
00782,2009,115,4,3,1,6,0,0.034782608695652174,0.02608695652173913,0.008695652173913044
00782,2010,105,9,5,4,4,3,0.08571428571428572,0.047619047619047616,0.0380952380952381
00782,2011,104,8,7,1,4,2,0.07692307692307693,0.0673076923076923,0.009615384615384616
00782,2012,108,2,1,1,5,5,0.018518518518518517,0.009259259259259259,0.009259259259259259
00782,2013,103,5,4,1,2,2,0.04854368932038835,0.038834951456310676,0.009708737864077669
00782,2014,109,9,4,5,5,1,0.08256880733944955,0.03669724770642202,0.045871559633027525
00782,2015,106,5,3,2,3,1,0.04716981132075472,0.02830188679245283,0.018867924528301886
00782,2016,109,1,1,0,12,8,0.009174311926605505,0.009174311926605505,0.0
00782,2017,100,2,1,1,7,1,0.02,0.01,0.01
00782,2018,101,3,3,0,7,1,0.0297029702970297,0.0297029702970297,0.0
00782,2019,101,7,4,3,3,1,0.06930693069306931,0.039603960396039604,0.0297029702970297
00782,2020,102,1,1,0,6,3,0.00980392156862745,0.00980392156862745,0.0
00782,2021,92,6,6,0,1,1,0.06521739130434782,0.06521739130434782,0.0
00782,2022,86,3,2,1,4,3,0.03488372093023256,0.023255813953488372,0.011627906976744186
00782,2023,86,4,2,2,2,1,0.046511627906976744,0.023255813953488372,0.023255813953488372
00783,2005,205,0,0,0,205,0,0.0,0.0,0.0
00783,2006,195,10,4,6,15,0,0.05128205128205128,0.020512820512820513,0.03076923076923077
00783,2007,218,18,15,3,31,0,0.08256880733944955,0.06880733944954129,0.013761467889908258
00783,2008,220,15,8,7,18,1,0.06818181818181818,0.03636363636363636,0.031818181818181815
00783,2009,236,14,10,4,18,1,0.059322033898305086,0.0423728813559322,0.01694915254237288
00783,2010,222,13,10,3,9,1,0.05855855855855856,0.04504504504504504,0.013513513513513514
