zip,year,n_at_risk,n_stay,n_move_any,n_move_within_pr,n_move_off_pr,n_attrit,rate_move_any,rate_move_within_pr,rate_move_off_pr
00694,2016,60,54,6,5,1,5,0.1,0.08333333333333333,0.016666666666666666
00694,2017,59,51,8,6,2,2,0.13559322033898305,0.1016949152542373,0.03389830508474576
00694,2018,62,57,5,5,0,1,0.08064516129032258,0.08064516129032258,0.0
00694,2019,64,54,10,10,0,5,0.15625,0.15625,0.0
00694,2020,57,54,3,1,2,1,0.05263157894736842,0.017543859649122806,0.03508771929824561
00694,2021,59,47,12,10,2,9,0.2033898305084746,0.1694915254237288,0.03389830508474576
00694,2022,52,48,4,4,0,2,0.07692307692307693,0.07692307692307693,0.0
00698,2005,240,224,16,9,7,19,0.06666666666666667,0.0375,0.029166666666666667
00698,2006,248,229,19,15,4,17,0.07661290322580645,0.06048387096774194,0.016129032258064516
00698,2007,256,239,17,7,10,19,0.06640625,0.02734375,0.0390625
00698,2008,272,255,17,11,6,10,0.0625,0.04044117647058824,0.022058823529411766
00698,2009,246,226,20,8,12,40,0.08130081300813008,0.032520325203252036,0.04878048780487805
00698,2010,233,226,7,4,3,13,0.030042918454935622,0.017167381974248927,0.012875536480686695
00698,2011,239,224,15,12,3,20,0.06276150627615062,0.0502092050209205,0.012552301255230125
00698,2012,238,222,16,7,9,13,0.06722689075630252,0.029411764705882353,0.037815126050420166
00698,2013,234,219,15,8,7,16,0.0641025641025641,0.03418803418803419,0.029914529914529916
00698,2014,239,225,14,7,7,12,0.058577405857740586,0.029288702928870293,0.029288702928870293
00698,2015,238,223,15,5,10,6,0.06302521008403361,0.02100840336134454,0.04201680672268908
00698,2016,227,211,16,4,12,20,0.07048458149779736,0.01762114537444934,0.05286343612334802
00698,2017,216,207,9,3,6,15,0.041666666666666664,0.013888888888888888,0.027777777777777776
00698,2018,223,209,14,9,5,13,0.06278026905829596,0.04035874439461883,0.02242152466367713
00698,2019,217,205,12,0,12,15,0.055299539170506916,0.0,0.055299539170506916
00698,2020,214,203,11,7,4,8,0.0514018691588785,0.03271028037383177,0.018691588785046728
00698,2021,207,196,11,7,4,16,0.05314009661835749,0.033816425120772944,0.01932367149758454
00698,2022,205,199,6,1,5,9,0.02926829268292683,0.004878048780487805,0.024390243902439025
00700,2006,1,1,0,0,0,0,0.0,0.0,0.0
00700,2007,1,1,0,0,0,0,0.0,0.0,0.0
00700,2008,1,0,1,1,0,0,1.0,1.0,0.0
00701,2005,1,1,0,0,0,0,0.0,0.0,0.0
00701,2008,1,0,1,1,0,0,1.0,1.0,0.0
00701,2014,1,1,0,0,0,0,0.0,0.0,0.0
00701,2015,1,1,0,0,0,0,0.0,0.0,0.0
00701,2016,1,1,0,0,0,0,0.0,0.0,0.0
00701,2017,1,0,1,1,0,1,1.0,1.0,0.0
00703,2005,126,121,5,3,2,6,0.03968253968253968,0.023809523809523808,0.015873015873015872
00703,2006,129,120,9,8,1,8,0.06976744186046512,0.06201550387596899,0.007751937984496124
00703,2007,132,123,9,6,3,9,0.06818181818181818,0.045454545454545456,0.022727272727272728
00703,2008,166,155,11,9,2,15,0.06626506024096386,0.05421686746987952,0.012048192771084338
00703,2009,149,142,7,5,2,32,0.04697986577181208,0.03355704697986577,0.013422818791946308
00703,2010,140,127,13,11,2,20,0.09285714285714286,0.07857142857142857,0.014285714285714285
00703,2011,140,132,8,5,3,7,0.05714285714285714,0.03571428571428571,0.02142857142857143
00703,2012,139,127,12,9,3,9,0.08633093525179857,0.06474820143884892,0.02158273381294964
