buyer,parcels,value
R G ENGINEERING INC,8,32395805
BARQUET HERMANOS LLC,8,1774815
BIENES BEAGAB INC,7,1770000
PHALANX CAPITAL SERIES 5 REAL ESTATE LLC,7,873910
BIENES VALENTIN INC,7,640000
MR INVESTMENT MANAGEMENT INC,7,585500
LITTLE SUNDAY INC,7,882000
MARTEX FARMS INC,7,958000
INVERSIONES COMERCIA,7,6780000
SG INVESTMENT GROUP,7,475000
REIGN HOLDINGS LLC,7,3165000
PORTILLA DELGADO REALTY LLC,7,1042367
ALEXKA LLC,7,1545000
G G INVESTMENT LLC,7,1693500
E F REALTY LLC,7,4799790
GABYSUE REALTY LLC,7,997552
AMBAR INVEST LLC,7,14688500
EMPRESAS RENACIMIENTO INC,7,14160000
PRIDCO LLC,7,6944575
PAVIA PROPERTIES LLC,7,1101989
PURICO LLC,7,2703938
RUIZ SOLER INVESTMENT INC,7,466500
WHF FARM LLC,7,2577662
BOHO BEACH CLUB LLC,7,8413649
EMPRESAS MEDINA SERRANO LLC,7,1085000
BEST PETROLEUM CORPORATION,7,8500000
BRIGHT PLANET SOLAR INC,7,2010000
LABRADA REAL ESTATE LLC,7,1610000
KOFLOR CORP,7,5930599
R R RENTAL LLC,7,2336500
SOLO HOLDINGS LLC,7,1029800
OCASIO RENTALS INC,7,1161943
VICTORIA PROPERTIES,7,940000
INVERSIONES RB CORP,7,752365
ELITE 3 COMMERCIAL REAL ESTATE LLC,7,2044500
PR RENT TO OWN LLC,7,591993
VEGA ROBLES INVESTMENT GROUP LLC,7,526112
FUENTES PROPERTY INC,7,887800
JOVE GROUP LLC,7,839000
COSSMA INC,7,3733330
V HOLDINGS LLC,7,193438
JJJ RANCH INC,7,590830
JORGE EL SANTERO INC,7,292000
ESTRELLA HOMES III LLC,7,912933
FIRST BANK DE PR,7,1662311
ALAMEDA HOLDINGS COR,7,852332
BANCO SANTANDER,7,1892920
SAM INVESTMENTS CORP,7,1058000
SEA SPRAY LLC,7,214500
PR RES LLC,7,367155862
PDR ACQUISITION LLC,7,2212000
PDR AQUISITION LLC,7,9171000
ONE BY ONE LLC,7,989302
EME INVESTMENT LLC,7,340000
PUERTA DORADA INC,7,9411202
KANAAN CORPORATION,7,2070000
ISLETA LLC,7,2700000
ROSAN INC,7,6379000
M M SOLUTION LLC,7,1523000
EMPRESAS ASPE LLC,7,1067000
