mail_address,parcels,value,n_entities,entities
E19 AVE LUIS MUNOZ MARIN URB CAGUAX PR PUERTO RICO 00725 3331,23,2340750,5,ALEJANDRO INVESTMENT | ALEJANDRO INVESTMENT GROUP | ALEJANDRO INVESTMENT GROUP CORP | ALEJANDRO INVESTMENT GROUP INC | ALEJANDRO INVESTMENTS GROUP INC
2 CALLE BALDORIOTY PR PUERTO RICO 00725 2707,23,8786180,6,PROPERTIES CORP | QNS PROPERTIES | QNS PROPERTIES CORP | QNS PROPERTIES CORPO | QNS PROPERTIES CORPORATION | QNS PROPIERTIES CORP
623 AVE PONCE DE LEON STE 605 B PR UNITED STATES 00917,23,1610440,2,RINCON HILLS HOLDING | RINCON HILLS HOLDING LLC
PO BOX 608 PR PUERTO RICO 00677,23,8563876,15,COOP A C AGUADA | COOP A C DE AGUADA | COOP A C DE RINCON | COOP A C RINCON | COOP AHORRO C DE AGU | COOP AHORRO CREDITO | COOP AHORRO Y CRD RI | COOP AHORRO Y CREDI
PO BOX 19237 PR ESTADOS UNIDOS 00910,22,2607064,8,MENR INVERTNE CORP | MENR INVESMENT CORP | MENR INVESTMENT | MENR INVESTMENT COR | MENR INVESTMENT CORP | MENT INVESMENT CORP | MEUR INVESTMENT CORP | NRMD HEAL PROVIDERS LLC
954 AVE PONCE DE LEON STE 204 PR PUERTO RICO 00907 3601,22,5602686,8,MR 152 LUNA LLC | MR MONA LLC | MR RINCON B B LLC | MR TODD LLC | RAD MAN BP 20 LLC | RAD MAN BP16 LLC | RGRJ HOLDINGS LLC | RINCON BROS 1 LLC
PO BOX 5986 PR 00726 5986,22,2601647,10,ASATURIAS INVESTMENT | ASTURIAS INVESMEN GROUP CORP | ASTURIAS INVESTMENT | ASTURIAS INVESTMENT GROUP | ASTURIAS INVESTMENT GROUP CORP | ASTURIAS INVESTMENT GROUP CORPORATION | ASTURIAS INVESTMENTS | ASTURIAS INVESTMENTS GROUP CORP
HC 3 BOX 14966 PR PUERTO RICO 00703 8337,21,20736704,4,HOLA PROPERTIES INC | HULA PROPERTIES INC | HULA PROPERTIES INCB | HULA PROPERTIES LLC
3217 S DECKER LAKE DR UT 84119 3284,21,2038130,3,LIME HOMES LTD A BAHAMIAN LIMITED COMPANY | LIME RESIDENCIAL LTD | LIME RESIDENTIAL LTD
ESTANCIAS DEL MONTE B8 38 CALLE MARAVILLA PR 00780,21,13028104,2,ICON PROPERTIES LLC | ICON PROPETIES LLC
PO BOX 270005 PR ESTADOS UNIDOS 00928 2805,21,26068706,8,AFG MEDICAL INSTITUTIONAL PORTFOLIO LLC | AGF MEDICAL INSTITUTIONAL PORTFOLIO LLC | GLOBAL LIMITEED S E | GLOBAL PROP INC | GLOBAL PROPERTIES IN | GLOBAL PROPERTIES INC | GOLBAL PROPERTIES IN | NEW FRONTIER PARTNERS LLC
