tract_geoid,zcta,share_of_tract_land,is_dominant_zcta,arealand_part,areawater_part,arealand_tract
72025201500,00725,1.0,True,588614,0,588614
72025201600,00725,1.0,True,524408,0,524408
72025201700,00725,1.0,True,572176,0,572176
72025201800,00725,1.0,True,1250248,50208,1250248
72025201900,00725,1.0,True,319342,0,319342
72025202000,00725,0.8373,True,921158,0,1100157
72025202000,00727,0.1627,False,178999,0,1100157
72025202100,00727,1.0,True,891944,0,891944
72025202200,00727,1.0,True,573974,0,573974
72025202300,00727,1.0,True,731663,0,731663
72025202402,00727,1.0,True,2876834,0,2876834
72025202403,00727,1.0,True,6935242,0,6935242
72025202404,00727,1.0,True,7161427,1152,7161427
72025202500,00725,0.569,True,6491400,12015,11408326
72025202500,00727,0.431,False,4916926,2363,11408326
72025202601,00725,1.0,True,2436719,19078,2436719
72025202602,00725,1.0,True,10118909,48071,10118909
72025202701,00725,1.0,True,11595775,2731,11595775
72025202702,00725,1.0,True,21778493,1453,21778493
72025202800,00725,0.0133,False,211949,0,15886608
72025202800,00727,0.9867,True,15674659,4692,15886608
72027320100,00627,1.0,True,1853494,907779,1853494
72027320200,00627,1.0,True,10718191,2572776,10718191
72027320300,00627,1.0,True,22230897,2938,22230897
72027320401,00627,1.0,True,4116018,1568,4116018
72027320402,00627,1.0,True,10201647,0,10201647
72027320500,00627,1.0,True,45156218,3435,45156218
72027320600,00627,1.0,True,25782211,18091,25782211
72027990000,,,False,0,36923070,0
72029100101,00729,1.0,True,4764507,0,4764507
72029100103,00729,1.0,True,695545,0,695545
72029100104,00729,1.0,True,5422786,83653,5422786
72029100200,00729,1.0,True,3151625,133373,3151625
72029100400,00729,1.0,True,3744551,99983,3744551
72029100502,00729,1.0,True,729126,426,729126
72029100503,00729,1.0,True,3920527,0,3920527
72029100504,00729,0.9762,True,11115865,44744,11386676
72029100504,00745,0.0238,False,270811,0,11386676
72029100601,00729,0.9961,True,13871555,0,13926192
72029100601,00745,0.0039,False,54637,0,13926192
72029100602,00729,1.0,True,6004183,0,6004183
72029100700,00729,0.9971,True,19226278,0,19281508
72029100700,00777,0.0029,False,55230,0,19281508
72029100800,00729,1.0,True,12103045,0,12103045
72031050105,00979,1.0,True,730628,227616,730628
72031050106,00979,1.0,True,218674,64823,218674
72031050107,00979,1.0,True,184881,94201,184881
72031050110,00979,1.0,True,728129,9755,728129
72031050111,00979,1.0,True,458577,289857,458577
72031050112,00979,1.0,True,1001088,2399738,1001088
72031050113,00979,1.0,True,1016014,7028,1016014
72031050211,00983,1.0,True,1293461,244029,1293461
72031050212,00983,1.0,True,1209519,37346,1209519
72031050221,00983,1.0,True,3175920,612971,3175920
72031050222,00983,1.0,True,1352989,0,1352989
72031050231,00983,1.0,True,737010,0,737010
72031050232,00983,1.0,True,1400776,27065,1400776
72031050241,00983,1.0,True,950241,54840,950241
72031050242,00983,1.0,True,930001,20508,930001
72031050302,00982,1.0,True,988499,0,988499
72031050311,00982,1.0,True,818439,3242,818439
72031050321,00982,1.0,True,834900,15870,834900
72031050331,00982,1.0,True,412452,0,412452
72031050341,00982,0.8275,True,682239,0,824483
72031050341,00983,0.1725,False,142244,0,824483
72031050403,00976,0.329,False,1124041,0,3416837
72031050403,00987,0.671,True,2292796,1356,3416837
72031050404,00924,0.2404,False,115541,0,480579
72031050404,00987,0.7596,True,365038,0,480579
72031050405,00924,0.4016,False,307107,0,764799
72031050405,00987,0.5984,True,457692,0,764799
72031050503,00987,1.0,True,974653,0,974653
72031050504,00987,1.0,True,2950203,70892,2950203
72031050505,00987,1.0,True,2202243,116172,2202243
72031050506,00987,1.0,True,1344312,0,1344312
72031050600,00985,1.0,True,1582246,23714,1582246
72031050700,00985,1.0,True,295840,0,295840
72031050803,00985,1.0,True,679059,0,679059
72031050811,00985,1.0,True,13310139,373897,13310139
72031050812,00985,1.0,True,840866,23022,840866
72031050821,00985,1.0,True,1062993,182694,1062993
72031050822,00985,1.0,True,729999,54225,729999
72031050831,00985,1.0,True,1083258,5715,1083258
72031050841,00985,1.0,True,4333441,135507,4333441
72031050901,00987,1.0,True,12176044,180083,12176044
72031050902,00987,1.0,True,3693709,111446,3693709
72031051001,00987,1.0,True,14024037,20937,14024037
72031051002,00987,1.0,True,10090349,754,10090349
72031051102,00987,1.0,True,10654639,0,10654639
72031051103,00987,1.0,True,3163784,0,3163784
72031051104,00987,1.0,True,2661734,79201,2661734
72031980003,00979,1.0,True,5733331,1015907,5733331
72031990000,,,False,0,29145934,0
72031990000,00979,,True,0,3070713,0
72033020200,00962,1.0,True,750602,236603,750602
72033020302,00962,1.0,True,388435,8838,388435
72033020422,00962,1.0,True,503476,0,503476
72033020423,00962,1.0,True,1237761,258247,1237761
72033020425,00962,1.0,True,343946,0,343946
72033020426,00962,1.0,True,304154,0,304154
72033020428,00962,1.0,True,1788857,0,1788857
72033020500,00949,0.8783,True,964575,0,1098212
72033020500,00961,0.1217,False,133637,0,1098212
72033980001,00949,1.0,True,704029,474682,704029
72033980002,00962,1.0,True,506436,379123,506436
72033980003,00962,1.0,True,1663090,30197,1663090
72033980004,00962,1.0,True,262920,0,262920
72033980005,00962,1.0,True,1413820,93680,1413820
72033980006,00962,1.0,True,693554,31408,693554
72033980007,00962,1.0,True,856269,10564,856269
72033990201,00949,,True,0,2372923,0
72033990201,00962,,False,0,1718825,0
72035260100,00736,1.0,True,34335739,20654,34335739
72035260201,00736,1.0,True,2855415,19827,2855415
72035260202,00736,1.0,True,5006006,15082,5006006
72035260300,00736,1.0,True,4574088,943,4574088
72035260400,00736,1.0,True,25419585,3837,25419585
72035260500,00736,1.0,True,2050994,381,2050994
72035260600,00736,1.0,True,866728,136,866728
72035260700,00736,1.0,True,511883,0,511883
72035260800,00736,1.0,True,1290785,0,1290785
72035260901,00736,1.0,True,13050221,0,13050221
72035260902,00736,0.9314,True,41493138,7710,44548435
72035260902,00751,0.0056,False,250906,0,44548435
72035260902,00784,0.063,False,2804391,0,44548435
72037160201,00735,0.9189,True,3876508,0,4218787
72037160201,00738,0.0811,False,342279,0,4218787
72037160202,00735,1.0,True,29033352,8696,29033352
72037160400,,0.1818,False,7624548,9180474,41949510
72037160400,00718,0.0036,False,150705,0,41949510
72037160400,00735,0.8147,True,34174257,7747833,41949510
72037990000,,,False,0,319241481,0
72039955600,00638,0.9593,True,56101336,151425,58481883
72039955600,00650,0.0407,False,2380547,0,58481883
72039955700,00638,1.0,True,4169155,98932,4169155
72039955800,00638,1.0,True,33441827,125730,33441827
72039955900,00638,1.0,True,76217328,83517,76217328
72041240101,00739,1.0,True,8346862,542395,8346862
72041240102,00739,1.0,True,3466062,26,3466062
72041240201,00739,1.0,True,13498286,3221,13498286
72041240202,00703,0.1735,False,2859243,0,16482347
72041240202,00739,0.8265,True,13623104,1165,16482347
72041240300,00739,1.0,True,4421551,491771,4421551
72041240401,00736,0.0928,False,654498,0,7052323
72041240401,00739,0.9072,True,6397825,49071,7052323
72041240402,00736,0.4709,False,5285862,13141,11224680
72041240402,00739,0.5291,True,5938818,2971,11224680
72041240500,00739,1.0,True,2694150,13162,2694150
72041240601,00736,0.2497,False,4560731,0,18265889
72041240601,00739,0.7503,True,13705158,0,18265889
72041240602,00736,0.0299,False,234928,0,7845795
72041240602,00739,0.9701,True,7610867,3440,7845795
72043953900,00769,0.9269,True,39026240,1834,42105287
72043953900,00794,0.0731,False,3079047,0,42105287
72043954000,00720,0.0184,False,1021428,0,55562817
72043954000,00769,0.9816,True,54541389,3791,55562817
72043954100,00769,1.0,True,850249,311,850249
72043954200,00769,1.0,True,3640562,0,3640562
72043954300,00769,1.0,True,696651,0,696651
72043954400,00769,1.0,True,637315,0,637315
72043954500,00705,0.0429,False,2219853,409,51724032
72043954500,00769,0.9571,True,49504179,4060,51724032
72043954600,00769,1.0,True,22886506,4165,22886506
72043954700,00769,1.0,True,23948902,23491,23948902
72045951700,00719,0.0166,False,359906,0,21706939
72045951700,00782,0.9834,True,21347033,207047,21706939
72045951800,00782,1.0,True,21705535,68767,21705535
72045951900,00782,1.0,True,2479446,27898,2479446
72045952000,00782,1.0,True,1140659,14671,1140659
72045952100,00703,0.0992,False,2630161,0,26524614
72045952100,00782,0.9008,True,23894453,1356,26524614
72047530100,00783,0.9507,True,10790572,338,11349723
72047530100,00953,0.0493,False,559151,0,11349723
