filename,fecha_de_radicacion,has_unredacted,unredacted_vars,unredacted_values,sbp_application,county,state,country,mailing_county,mailing_state,mail_country,taxable_year_end,total_net_worth,identification_type,income_interest_exempt,income_interest_nonexempt,income_dividends_exempt,income_dividends_nonexempt,income_capital_gains_exempt,income_capital_gains_nonexempt,income_wages_exempt,income_wages_nonexempt,income_other_income_exempt,income_other_income_nonexempt,does_grantee_own_a_home_in_puerto_rico_or_does_he/she_rent_it,primary_property_value,monthly_rent_pay,real_estate_municipality,n_nonprimary_real_estate,does_grantee_have_assets_located_in_puerto_rico,previous_reporting_year,current_reporting_year,asset_type_financial_previous_reporting_year,asset_type_financial_current_reporting_year,asset_type_financial_difference,asset_type_real_estate_previous_reporting_year,asset_type_real_estate_current_reporting_year,asset_type_real_estate_difference,asset_type_privately_held_business_previous_reporting_year,asset_type_privately_held_business_current_reporting_year,asset_type_privately_held_business_difference,asset_type_other_previous_reporting_year,asset_type_other_current_reporting_year,asset_type_other_difference,n_business,business_type_1,business_decree_1,business_type_2,business_decree_2,business_type_3,business_decree_3,business_type_4,business_decree_4,business_type_5,business_decree_5,business_type_6,business_decree_6,n_hh,days_in_pr,expenditure_in_pr,charity_in_pr,total_amount_donated,inicial
2022-RepAct22-007077_Redacted.pdf,2022-01-24 17:06:37.203,FALSE,NA,NA,No,San Juan,REDACTED,USA,San Juan,Puerto Rico,USA,31-12-2018,From 10 to 25 million,Social Security Number,0,0,11782,0,135930,92419,0,0,11250,482,Rent,NA,3600,San Juan,0,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,206,40000,Yes,5000,NA
2022-RepAct22-007078_Redacted.pdf,2022-01-21 10:13:59.115,FALSE,NA,NA,No,San Juan,REDACTED,USA,San Juan,Puerto Rico,USA,31-12-2020,From 1 to 5 million,Social Security Number,55,0,473389,0,156156,0,0,0,0,74602,Rent,NA,3800,San Juan,0,TRUE,2019,2020,1762863,3300000,1537137,0,0,0,30788,49676,18888,185000,0,-185000,1,Services,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,365,150000,No,NA,NA
2022-RepAct22-007079_Redacted.pdf,2022-01-25 10:24:04.057,FALSE,NA,NA,No,Humacao,REDACTED,USA,Rincón,Puerto Rico,USA,31-12-2020,From 1 to 5 million,Social Security Number,20,0,223004,0,214301,0,0,60000,0,0,Rent,NA,2000,Aguadilla,0,TRUE,2019,2020,1750000,1171000,-579000,0,0,0,0,0,0,0,950000,950000,1,Services,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,350,50000,Yes,1100,NA
2022-RepAct22-007091_Redacted.pdf,2022-02-08 15:57:31.323,FALSE,NA,NA,No,San Juan,Puerto Rico,USA,San Juan,Puerto Rico,USA,REDACTED,Less than 1 million,REDACTED,0,0,0,0,0,0,0,227967,0,0,Own,515000,NA,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Health Industry,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,350,133662,No,NA,NA
2022-RepAct22-007092_Redacted.pdf,2022-01-13 15:25:28.552,TRUE,charity_name,Caribbean Steps Inc,No,San Juan,REDACTED,USA,Dorado,Puerto Rico,USA,REDACTED,From 5 to 10 million,REDACTED,7452,0,22755,0,0,0,0,42000,0,22855,Own,575000,NA,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Services,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,365,250000,Yes,5000,NA
2022-RepAct22-007093_Redacted.pdf,2022-01-13 15:25:28.552,FALSE,NA,NA,No,San Juan,REDACTED,USA,Dorado,Puerto Rico,USA,REDACTED,From 5 to 10 million,REDACTED,7452,0,22755,0,0,0,0,42000,0,22855,Own,575000,NA,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Services,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,272,250000,Yes,5000,NA
2022-RepAct22-007097_Redacted.pdf,2022-01-31 13:29:38.354,FALSE,NA,NA,true,Guaynabo,Puerto Rico,USA,Guaynabo,Alabama,USA,REDACTED,From 1 to 5 million,Social Security Number,0,0,10086,0,0,0,0,0,0,243075,Rent,NA,2100,Guaynabo,0,TRUE,2019,2020,0,980000,980000,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,300,130000,Yes,5000,NA
2022-RepAct22-007111_Redacted - 2.pdf,2022-01-21 17:17:12.105,FALSE,NA,NA,No,Humacao,Puerto Rico,USA,Humacao,Puerto Rico,USA,REDACTED,From 25 to 50 million,ssn,36157,0,0,0,0,0,0,44341,0,2497,Rent,NA,2500,Vega Alta,0,TRUE,2018,2019,3,3,0,0,0,0,2,4,2,0,0,0,1,Financial,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,300,1e+05,No,NA,NA
2022-RepAct22-007111_Redacted.pdf,2022-01-21 17:17:12.105,FALSE,NA,NA,No,Humacao,Puerto Rico,USA,Humacao,Puerto Rico,USA,REDACTED,From 25 to 50 million,ssn,36157,0,0,0,0,0,0,44341,0,2497,Rent,NA,2500,Vega Alta,0,TRUE,2018,2019,3,3,0,0,0,0,2,4,2,0,0,0,1,Financial,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,300,1e+05,No,NA,NA
2022-RepAct22-007112_Redacted.pdf,2022-01-21 17:18:57.07,FALSE,NA,NA,No,Humacao,Puerto Rico,USA,Humacao,Puerto Rico,USA,REDACTED,From 25 to 50 million,ssn,107889,0,0,0,0,0,0,10000,0,42313,Rent,NA,2500,Vega Alta,0,TRUE,2019,2020,3,3,0,0,0,0,4,4,0,0,0,0,1,Real Estate/Property,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,300,110000,No,NA,NA
2022-RepAct22-007115_Redacted.pdf,2022-01-26 10:13:09.88,FALSE,NA,NA,true,Guaynabo,REDACTED,USA,San Juan,Puerto Rico,USA,REDACTED,Less than 1 million,Social Security Number,0,0,0,0,0,0,0,0,0,0,Rent,NA,2770,Guaynabo,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,345,132850,No,NA,NA
2022-RepAct22-007151_Redacted.pdf,2022-01-27 18:06:37.039,FALSE,NA,NA,No,Carolina,REDACTED,USA,Carolina,Puerto Rico,USA,REDACTED,From 10 to 25 million,ssn,0,0,253535,0,0,0,0,21080,37270,0,Own,2100000,NA,NA,1,TRUE,2019,2020,1e+05,225000,125000,2100000,2100000,0,133151,231146,97995,0,0,0,1,Telecommunication,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,365,125000,Yes,5000,NA
2022-RepAct22-007171_Redacted.pdf,2022-01-31 12:41:50.249,FALSE,NA,NA,true,San Juan,Puerto Rico,USA,San Juan,Puerto Rico,USA,REDACTED,Less than 1 million,Social Security Number,990,0,8351,0,0,0,2250,0,0,0,Own,7e+05,NA,NA,0,TRUE,2019,2020,0,850000,850000,0,350000,350000,0,250000,250000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,323,50000,Yes,5000,NA
2022-RepAct22-007172_Redacted.pdf,2022-02-02 14:01:10.558,FALSE,NA,NA,No,Humacao,Puerto Rico,USA,Humacao,Puerto Rico,USA,REDACTED,From 1 to 5 million,Social Security Number,516,0,1867873,0,0,0,0,129503,29956,0,Own,2e+06,NA,NA,0,TRUE,2018,2019,371227,22239,-348988,575000,2e+06,1425000,6050,6050,0,0,0,0,1,Services,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,330,44500,No,NA,NA
2022-RepAct22-007173_Redacted.pdf,2022-02-01 10:55:39.687,FALSE,NA,NA,No,San Juan,Puerto Rico,USA,San Juan,Puerto Rico,USA,REDACTED,From 5 to 10 million,ssn,0,250000,0,50000,3e+06,0,0,0,0,15000,Own,9e+05,NA,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,270,2e+05,No,NA,NA
2022-RepAct22-007191_Redacted.pdf,2022-01-13 15:41:48.017,TRUE,date_of_decree,01-01-2019,No,Dorado,Puerto Rico,USA,Dorado,Puerto Rico,USA,31-12-2020,From 5 to 10 million,Social Security Number,0,0,250000,0,0,0,0,84000,0,0,Own,575000,NA,NA,0,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Services,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,298,2e+05,Yes,5000,NA
2022-RepAct22-007211_Redacted.pdf,2022-02-03 18:30:10.331,FALSE,NA,NA,true,Río Grande,Puerto Rico,USA,Río Grande,Puerto Rico,USA,REDACTED,From 1 to 5 million,Social Security Number,9445,0,6696,0,98217,0,0,154300,0,3843003,Own,949000,NA,NA,1,TRUE,2019,2020,568862,1137725,568863,855375,1286500,431125,7339796,14679593,7339797,88810,177620,88810,1,Financial,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,257,50000,Yes,5000,NA
